z,population
z000001,0.0
z000002,1300727.5731
z000003,2683001.7521
z000004,3853184.5076
z000005,1523113.2918
z000006,2823840.865
z000007,3106871.171
z000008,4277053.9265
z000009,560845.8643
z000010,1861573.4374
z000011,3243847.6164
z000012,4414030.3719
z000013,2040757.5137
z000014,3341485.0869
z000015,3624515.3929
z000016,4794698.1484
z000017,1056578.4242
z000018,2355693.4167
z000019,2688809.4846
z000020,3858992.2401
z000021,1984935.7017
z000022,3284050.6942
z000023,3111083.2896
z000024,4281266.0451
z000025,1617424.2885
z000026,2916539.281
z000027,3249655.3489
z000028,4419838.1044
z000029,2502579.9236
z000030,3801694.9161
z000031,3628727.5115
z000032,4798910.267
z000033,523148.4925
z000034,1823876.0656
z000035,2874214.7528
z000036,4044397.5083
z000037,1530990.5837
z000038,2831718.1569
z000039,3112378.6272
z000040,4282561.3828
z000041,1049619.343
z000042,2350346.9161
z000043,3400685.6033
z000044,4570868.3589
z000045,2045311.7454
z000046,3346039.3185
z000047,3626699.7889
z000048,4796882.5444
z000049,1340427.6187
z000050,2639542.6112
z000051,2878108.0328
z000052,4048290.7883
z000053,1990124.3193
z000054,3289239.3118
z000055,3116271.9072
z000056,4286454.6628
z000057,1866898.4692
z000058,3166013.4617
z000059,3404578.8833
z000060,4574761.6388
z000061,2504445.481
z000062,3803560.4735
z000063,3630593.0689
z000064,4800775.8244
z000065,486242.5696
z000066,1786970.1428
z000067,2780738.4255
z000068,3950921.181
z000069,1523113.2918
z000070,2823840.865
z000071,3106871.171
z000072,4277053.9265
z000073,1047088.4339
z000074,2347816.0071
z000075,3341584.2898
z000076,4511767.0453
z000077,2040757.5137
z000078,3341485.0869
z000079,3624515.3929
z000080,4794698.1484
z000081,1470009.2309
z000082,2769124.2235
z000083,2786546.158
z000084,3956728.9135
z000085,1984935.7017
z000086,3284050.6942
z000087,3111083.2896
z000088,4281266.0451
z000089,2030855.0952
z000090,3329970.0878
z000091,3347392.0223
z000092,4517574.7778
z000093,2502579.9236
z000094,3801694.9161
z000095,3628727.5115
z000096,4798910.267
z000097,891289.7299
z000098,2192017.3031
z000099,2949944.5908
z000100,4120127.3464
z000101,1530990.5837
z000102,2831718.1569
z000103,3112378.6272
z000104,4282561.3828
z000105,1417760.5805
z000106,2718488.1536
z000107,3476415.4414
z000108,4646598.1969
z000109,2045311.7454
z000110,3346039.3185
z000111,3626699.7889
z000112,4796882.5444
z000113,1670717.2224
z000114,2969832.2149
z000115,2953837.8708
z000116,4124020.6264
z000117,1990124.3193
z000118,3289239.3118
z000119,3116271.9072
z000120,4286454.6628
z000121,2197188.073
z000122,3496303.0655
z000123,3480308.7214
z000124,4650491.4769
z000125,2504445.481
z000126,3803560.4735
z000127,3630593.0689
z000128,4800775.8244
z000129,581843.3599
z000130,1331252.0557
z000131,3130181.4777
z000132,3854955.7268
z000133,2104956.6517
z000134,2854365.3475
z000135,3554050.8966
z000136,4278825.1458
z000137,1142689.2242
z000138,1892097.92
z000139,3691027.342
z000140,4415801.5911
z000141,2622600.8736
z000142,3372009.5694
z000143,4071695.1185
z000144,4796469.3676
z000145,1618276.704
z000146,2367685.3998
z000147,3135989.2102
z000148,3860763.4593
z000149,2546633.9815
z000150,3296042.6773
z000151,3558263.0152
z000152,4283037.2644
z000153,2179122.5683
z000154,2928531.2641
z000155,3696835.0745
z000156,4421609.3236
z000157,3064278.2034
z000158,3813686.8992
z000159,4075907.2371
z000160,4800681.4862
z000161,1104991.8523
z000162,1854400.5481
z000163,3321394.4784
z000164,4046168.7275
z000165,2112833.9436
z000166,2862242.6394
z000167,3559558.3528
z000168,4284332.602
z000169,1631462.7029
z000170,2380871.3987
z000171,3847865.3289
z000172,4572639.5781
z000173,2627155.1053
z000174,3376563.8011
z000175,4073879.5145
z000176,4798653.7637
z000177,1902125.8984
z000178,2651534.5942
z000179,3325287.7583
z000180,4050062.0075
z000181,2551822.5991
z000182,3301231.2949
z000183,3563451.6328
z000184,4288225.882
z000185,2428596.7489
z000186,3178005.4448
z000187,3851758.6089
z000188,4576532.8581
z000189,3066143.7608
z000190,3815552.4566
z000191,4077772.7945
z000192,4802547.0436
z000193,1068085.9295
z000194,1817494.6253
z000195,3227918.151
z000196,3952692.4002
z000197,2104956.6517
z000198,2854365.3475
z000199,3554050.8966
z000200,4278825.1458
z000201,1628931.7938
z000202,2378340.4896
z000203,3788764.0153
z000204,4513538.2645
z000205,2622600.8736
z000206,3372009.5694
z000207,4071695.1185
z000208,4796469.3676
z000209,2031707.5107
z000210,2781116.2065
z000211,3233725.8836
z000212,3958500.1327
z000213,2546633.9815
z000214,3296042.6773
z000215,3558263.0152
z000216,4283037.2644
z000217,2592553.375
z000218,3341962.0708
z000219,3794571.7479
z000220,4519345.997
z000221,3064278.2034
z000222,3813686.8992
z000223,4075907.2371
z000224,4800681.4862
z000225,1473133.0898
z000226,2222541.7856
z000227,3397124.3164
