scenario,flow_type,product,origin,destination,month,quantity_kg,distance_km
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Jan,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Feb,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Mar,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Apr,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,May,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Jun,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Jul,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Aug,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Sep,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Oct,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Nov,141063.13,118.19
dc_mdcp,E_to_DC,Broccoli,San Antonio,DC_Macul,Dec,141063.13,118.19
dc_mdcp,E_to_DC,Cauliflower,San Antonio,DC_Macul,Jan,277648.06,118.19
dc_mdcp,E_to_DC,Cauliflower,San Antonio,DC_Macul,Feb,277648.06,118.19
dc_mdcp,E_to_DC,Cauliflower,San Antonio,DC_Macul,Mar,277648.06,118.19
dc_mdcp,E_to_DC,Cauliflower,San Antonio,DC_Macul,Oct,277648.06,118.19
dc_mdcp,E_to_DC,Cauliflower,San Antonio,DC_Macul,Nov,277648.06,118.19
dc_mdcp,E_to_DC,Cauliflower,San Antonio,DC_Macul,Dec,277648.06,118.19
dc_mdcp,Scl_to_DC,Asparagus,Chile-Scl,DC_Macul,Sep,13434.583,9.01
dc_mdcp,Scl_to_DC,Asparagus,Chile-Scl,DC_Macul,Oct,13434.583,9.01
dc_mdcp,Scl_to_DC,Asparagus,Chile-Scl,DC_Macul,Nov,13434.583,9.01
dc_mdcp,Scl_to_DC,Asparagus,Chile-Scl,DC_Macul,Dec,13434.583,9.01
